Job_id,Job title,Job posting date,Job posting url,Job location,Pay rate,Vendor company name,Job type,Work from availability,Work type(remote/on-site),Modified Date,Current date time (CST),Job Title
966aaec5bf18589d90db1aecff870138,Business Data Analyst,2024-02-03T00:14:04Z,https://www.dice.com/job-detail/b73bf2ab-03f0-4012-a937-5f5d8969b6dc,"Toronto, ON, Canada",Depends on Experience,Cynet Systems,"Contract, Third Party",FALSE,Hybrid/Onsite,2024-02-03T00:14:04Z,2024-02-04T00:42:23Z,Data Analyst
0cbe33f3014699fe6d124a851f0ee217,Data Analyst,2024-02-02T22:06:29Z,https://www.dice.com/job-detail/cba545cd-0a76-4c34-9c33-1076bb987643,"Des Plaines, IL, USA","$60,000 - $70,000",AaraTechnologies Inc,Contract,FALSE,Hybrid/Onsite,2024-02-02T22:06:29Z,2024-02-04T00:42:23Z,Data Analyst
a7b4740bea5e46d4782695b3d4d0c0cf,Data Analyst,2024-02-02T22:15:26Z,https://www.dice.com/job-detail/8191c149-eee0-45bf-9d2d-742157dfc562,"Tallahassee, FL, USA","$60,000 - $70,000",AaraTechnologies Inc,Contract,FALSE,Hybrid/Onsite,2024-02-02T22:15:26Z,2024-02-04T00:42:23Z,Data Analyst
ce05c61180780084c44a1d8be6917237,Data Analyst,2024-02-02T22:13:31Z,https://www.dice.com/job-detail/08784818-5863-41d9-8849-b9323d88b88c,"Chapel Hill, NC, USA","$60,000 - $70,000",AaraTechnologies Inc,Contract,FALSE,Hybrid/Onsite,2024-02-02T22:13:31Z,2024-02-04T00:42:23Z,Data Analyst
022d1f202be274b49527b53c87fae6c7,Data Analyst,2024-02-02T22:10:56Z,https://www.dice.com/job-detail/30a91766-e42b-4c9c-84e6-e444a1fc1fb0,"Sugar Land, TX, USA","$60,000 - $70,000",AaraTechnologies Inc,Contract,FALSE,Hybrid/Onsite,2024-02-02T22:10:56Z,2024-02-04T00:42:23Z,Data Analyst
17f5691038d36b429c6cd370c35d9cb2,Data Analyst,2024-02-02T22:17:24Z,https://www.dice.com/job-detail/c5016f4e-09fe-43b8-a6c8-148c9e44a3da,"Bloomington, IL, USA","$60,000 - $70,000",AaraTechnologies Inc,Contract,FALSE,Hybrid/Onsite,2024-02-02T22:17:24Z,2024-02-04T00:42:23Z,Data Analyst
7c8aa8d3be2eda94f06d284529067672,Data Analyst,2024-02-02T22:08:25Z,https://www.dice.com/job-detail/d34894e7-82f6-4fad-945a-b6b4a83d8d93,"Columbia, MD, USA","$60,000 - $70,000",AaraTechnologies Inc,Contract,FALSE,Hybrid/Onsite,2024-02-02T22:08:25Z,2024-02-04T00:42:23Z,Data Analyst
cb0262a4febbf12ce9d40cacab2e3238,Data Analyst,2024-02-02T22:04:54Z,https://www.dice.com/job-detail/21233975-ed82-4f6d-aa56-6a5846d4ccff,"New Haven, CT, USA","$60,000 - $70,000",AaraTechnologies Inc,Contract,FALSE,Hybrid/Onsite,2024-02-02T22:04:54Z,2024-02-04T00:42:23Z,Data Analyst
b74c2356b0c52862cff8291510808e52,Data Analyst,2024-02-02T22:02:51Z,https://www.dice.com/job-detail/65a03445-80eb-48d7-a157-357f745bc93b,"Salt Lake City, UT, USA","$60,000 - $70,000",AaraTechnologies Inc,Contract,FALSE,Hybrid/Onsite,2024-02-02T22:02:51Z,2024-02-04T00:42:23Z,Data Analyst
9ff7569c187be11f1b172d678272d573,GIS Data Analyst/Trainer,2024-02-03T17:00:58Z,https://www.dice.com/job-detail/337e1249-5476-4f71-b16b-1d58d6f40e5d,"Austin, TX, USA",Depends on Experience,Neos Consulting,Contract,FALSE,Hybrid/Onsite,2024-02-03T17:02:49Z,2024-02-04T00:42:23Z,Data Analyst
4a805a8e7d5d59aa985367945deff8ec,Lead Workday Data Analyst - (Fully Onsite),2024-02-02T22:38:50Z,https://www.dice.com/job-detail/d603b24d-8c24-4036-b329-c2a13901b95d,"Chicago, IL, USA",Depends on Experience,Empower Professionals,"Third Party, Contract",FALSE,Hybrid/Onsite,2024-02-02T22:38:50Z,2024-02-04T00:42:23Z,Data Analyst
9ab4a1a189f4db2f3db72884b4a1c337,Data Analyst - IT IV,2024-02-03T15:17:49Z,https://www.dice.com/job-detail/9ad8b677-895f-49e6-ba60-85d4fa0203de,"Chicago, IL, USA",Depends on Experience,Dev Systems,Contract,FALSE,Hybrid/Onsite,2024-02-03T15:17:49Z,2024-02-04T00:42:23Z,Data Analyst
14987510c3c9e913367421b282d4c9b4,Data Analyst - Remote,2024-02-03T02:05:36Z,https://www.dice.com/job-detail/3e8f15d6-6e0c-46be-9388-85cc5f3ab25f,"Eagan, MN, USA",,C4 Technical Services,Contract,FALSE,Remote,2024-02-04T02:05:35Z,2024-02-04T00:42:23Z,Data Analyst
431488425309fcc56833b12f40cd7340,IAM Data Analyst,2024-02-02T23:32:48Z,https://www.dice.com/job-detail/f1f5bc14-31d9-43d3-9039-7eb432144fb3,"Atlanta, GA, USA",$25 - $35 hourly,Kforce Technology Staffing,Contract,FALSE,Hybrid/Onsite,2024-02-04T04:38:08Z,2024-02-04T00:42:23Z,Data Analyst
f001ad182226d2452419afea70ed5b77,Process Data Analyst,2024-02-02T23:32:48Z,https://www.dice.com/job-detail/92736a7c-34e7-4e1a-9790-245e5b07db07,"Cincinnati, OH, USA",$52 - $56 hourly,Kforce Technology Staffing,Contract,FALSE,Hybrid/Onsite,2024-02-04T04:38:08Z,2024-02-04T00:42:23Z,Data Analyst
afa9eddff45044efb6b0b4dccac99a1d,Data Analyst I - Adobe,2024-02-03T02:05:36Z,https://www.dice.com/job-detail/9ea893cd-6bb8-4734-89fc-5d540dff72f7,"Richfield, MN, USA",,C4 Technical Services,Contract,FALSE,Hybrid/Onsite,2024-02-04T02:05:35Z,2024-02-04T00:42:23Z,Data Analyst
2a7c5a331ee3a21a8b8e733f48395064,Data Analyst-Finance and Tax,2024-02-04T04:15:23Z,https://www.dice.com/job-detail/0b1778cf-3058-418a-b569-7b49957b33af,"California, USA",,InfoTech Spectrum Inc,"Third Party, Contract",FALSE,Hybrid/Onsite,2024-02-04T04:15:23Z,2024-02-04T00:42:23Z,Data Analyst
20a5c1b461e9d23ed6562fe467c13d1d,Data Analyst,2024-02-02T20:25:27Z,https://www.dice.com/job-detail/70fb1151-cd92-46f2-be1b-bc15a00d5ed5,"Foster City, CA, USA",$49 - $59,"ATR International, Inc.",Contract,FALSE,Hybrid/Onsite,2024-02-02T20:25:27Z,2024-02-04T00:42:23Z,Data Analyst
df9a67fe2a06bca20b888b60d7e85dfa,Guidewire Data Analyst with P&C Insurance for multiple location,2024-02-02T21:01:33Z,https://www.dice.com/job-detail/9f09ae4d-10b5-4e89-a046-8c8c3f544201,"Jersey City, NJ, USA",,Amaze Systems Inc,"Contract, Third Party",FALSE,Hybrid/Onsite,2024-02-03T18:15:48Z,2024-02-04T00:42:23Z,Data Analyst
6840f8d3777bc2a8be7b6a265e2db35e,Senior Healthcare Data Analyst,2024-02-02T20:32:51Z,https://www.dice.com/job-detail/6ae5d353-ad4a-4b52-a7cc-54e7e9c69da4,"Fairfield, CA, USA",$55 - $65 hourly,Kforce Technology Staffing,Contract,FALSE,Hybrid/Onsite,2024-02-04T04:41:27Z,2024-02-04T00:42:23Z,Data Analyst
1b3982060af73ef7bbd7a49121990b3d,"Data Management Analyst - Dallas, TX, Chandler, AZ, Minneapolis, MN",2024-02-02T21:09:14Z,https://www.dice.com/job-detail/030481ad-00fc-47e2-b308-ad30bf2ee605,"Charlotte, NC, USA",Depends on Experience,"Activesoft, Inc.",Contract,FALSE,Hybrid/Onsite,2024-02-02T21:09:14Z,2024-02-04T00:42:23Z,Data Analyst
e400f454c1af6fd49d4434361524cdcb,Data Conversion Analyst,2024-02-02T20:15:33Z,https://www.dice.com/job-detail/e2472218-cb14-4bda-b31f-b4300a5d3bda,"Fremont, CA, USA",Depends on Experience,Arthur Lawrence,Contract,FALSE,Hybrid/Onsite,2024-02-02T20:15:33Z,2024-02-04T00:42:23Z,Data Analyst
9ff2c2e579db4b2a928157d4d6afc9b6,Data Analyst,2024-02-02T19:47:05Z,https://www.dice.com/job-detail/a3df7dac-6c92-4f5e-8aa2-54a68ca37313,"Foster City, CA, USA",$45.0000 - $50.0000,Collabera LLC,Contract,FALSE,Hybrid/Onsite,2024-02-03T00:00:04Z,2024-02-04T00:42:23Z,Data Analyst
f2d43ec144568af06815f585e7458b48,Data Analyst,2024-02-02T19:16:02Z,https://www.dice.com/job-detail/12be6aa3-75ba-4c92-a08b-a9921e6ec531,"McLean, VA, USA",,INNOVIT USA INC,Contract,FALSE,Hybrid/Onsite,2024-02-04T05:02:18Z,2024-02-04T00:42:23Z,Data Analyst
1e50174c0f552adaa12aba8e34a2a865,Data Analyst - 49467,2024-02-02T19:16:11Z,https://www.dice.com/job-detail/8d70c55b-1ee0-48ba-8e42-aeee82a1b5f2,"Houston, TX, USA",$53,PRIMUS Global Services Inc.,Contract,FALSE,Hybrid/Onsite,2024-02-02T22:01:17Z,2024-02-04T00:42:23Z,Data Analyst
33dd22d8e6946fb550f62579f53d8121,Data Analyst,2024-02-02T18:57:12Z,https://www.dice.com/job-detail/4151578d-bc51-424c-b59f-f6dec2e8fb57,"Alpharetta, GA, USA",$50 - $60,OSO Ventures Inc.,Contract,FALSE,Hybrid/Onsite,2024-02-02T18:57:38Z,2024-02-04T00:42:23Z,Data Analyst
05766f142bebbd904ad18113e39c0b0c,"Data Analyst (MDG, SAP S4 Hanna) - Foster City, California",2024-02-02T17:15:58Z,https://www.dice.com/job-detail/af4ea89c-e704-4310-9bc8-5ea063c3e07a,"Sanger, CA, USA",$DOE,"Cube Hub, Inc.",Contract,FALSE,Hybrid/Onsite,2024-02-03T05:01:39Z,2024-02-04T00:42:23Z,Data Analyst
5f1458be64b04b76009a09fb3ff764ee,Data Analyst,2024-02-02T18:01:45Z,https://www.dice.com/job-detail/48a4ad2c-9726-4d36-b03f-20b5da5ac83c,"Minneapolis, MN, USA",BASED ON EXPERIENCE,INSPYR Solutions,Contract,TRUE,Hybrid/Onsite,2024-02-04T01:01:39Z,2024-02-04T00:42:23Z,Data Analyst
060bd4e12aece13f04f79401830594ab,Data Analyst III,2024-01-25T04:11:56Z,https://www.dice.com/job-detail/3b5b9c19-fcd9-4a84-ba2f-ae2d77a64386,"Indiana, PA, USA",,BCforward,Contract,FALSE,Hybrid/Onsite,2024-02-04T04:09:30Z,2024-02-04T00:42:23Z,Data Analyst
b02b2916f653b6c72917c13de7989d4e,Data Analyst with Splunk - Local to GA,2024-02-02T18:46:04Z,https://www.dice.com/job-detail/2b228a17-3558-4b13-8ec9-8e078264ebe7,,$60+,Signitives,"Contract, Third Party",FALSE,Remote,2024-02-02T18:46:04Z,2024-02-04T00:42:23Z,Data Analyst
3a40ce505164b2ae0d4a40fd51279c68,Lead-Data Analyst-Workday (Finance/Accounting),2024-02-02T16:16:20Z,https://www.dice.com/job-detail/4f6c3e66-fd8a-4a3e-aefd-0d7a14894e51,"Illinois, USA",,Cloudious LLC,"Third Party, Contract",FALSE,Hybrid/Onsite,2024-02-04T04:01:21Z,2024-02-04T00:42:23Z,Data Analyst
e5287be6b1d3f48d07e45b856e9eeb03,Data Analyst Specialist - only W2 - 8+ experienced,2024-02-02T15:44:30Z,https://www.dice.com/job-detail/794132cb-04a5-4584-bce9-559ef31c4dd7,"McLean, VA, USA",Depends on Experience,SSTech LLC,Contract,FALSE,Hybrid/Onsite,2024-02-02T16:30:04Z,2024-02-04T00:42:23Z,Data Analyst
544848a27f7c61e7551108d656fa7e85,Data Analyst - Azure,2024-02-02T16:31:41Z,https://www.dice.com/job-detail/a035c3b4-9c79-4470-8fde-a155d90698af,"Atlanta, GA, USA",Depends on Experience,ARK Infotech Spectrum,Contract,FALSE,Hybrid/Onsite,2024-02-02T16:31:41Z,2024-02-04T00:42:23Z,Data Analyst
6901c23ecea512c8c28e48c128947897,Data Analyst - Ex T-Mobile Must,2024-02-02T18:41:33Z,https://www.dice.com/job-detail/b33c58f2-6f37-4f91-ab4b-7be5a366fac2,,$50 - $60,United IT Solutions,Contract,FALSE,Remote,2024-02-02T18:41:33Z,2024-02-04T00:42:23Z,Data Analyst
